Название;Родитель;Индекс;"Является городом?";"ID по КЛАДР"
Истра;"Россия/Московская область";143500;1;5000005700000
Кашира;"Россия/Московская область";142900;1;5000003800000
Климовск;"Россия/Московская область";142180;1;5000000800000
Клин;"Россия/Московская область";141600;1;5000005500000
Коломна;"Россия/Московская область";140400;1;5000002700000
Королев;"Россия/Московская область";141071;1;5000000900000
Котельники;"Россия/Московская область";140054;1;5000003200000
Красноармейск;"Россия/Московская область";141290;1;5000001000000
Красногорск;"Россия/Московская область";143401;1;5000004900000
Краснозаводск;"Россия/Московская область";141321;1;5003000200000
Кубинка;"Россия/Московская область";143070;1;5002200400000
Куровское;"Россия/Московская область";142620;1;5002400300000
Ликино-Дулево;"Россия/Московская область";142672;1;5000005800000
Лобня;"Россия/Московская область";141730;1;5000001200000
Лосино-Петровский;"Россия/Московская область";141150;1;5000003100000
Луховицы;"Россия/Московская область";140500;1;5000004800000
Лыткарино;"Россия/Московская область";140080;1;5000001300000
Люберцы;"Россия/Московская область";140000;1;5000005000000
Можайск;"Россия/Московская область";143204;1;5000005600000
Москва;"Россия/Московская область";101000;1;7700000000000
Мытищи;"Россия/Московская область";141000;1;5000004400000
Наро-Фоминск;"Россия/Московская область";143300;1;5000005200000
Ногинск;"Россия/Московская область";142400;1;5000006000000
Одинцово;"Россия/Московская область";143000;1;5002200100000
Озеры;"Россия/Московская область";140560;1;5000004000000
Орехово-Зуево;"Россия/Московская область";142600;1;5000002600000
"Павловский Посад";"Россия/Московская область";142500;1;5000004700000
Пересвет;"Россия/Московская область";141320;1;5003000400000
Подольск;"Россия/Московская область";142100;1;5000002400000
Протвино;"Россия/Московская область";142280;1;5000001400000
Пушкино;"Россия/Московская область";141200;1;5002700100000
Пущино;"Россия/Московская область";142290;1;5000001500000
Раменское;"Россия/Московская область";140100;1;5002800100000
Реутов;"Россия/Московская область";143960;1;5000001600000
Рошаль;"Россия/Московская область";140730;1;5000001700000
Руза;"Россия/Московская область";143100;1;5000004500000
"Сергиев Посад";"Россия/Московская область";141300;1;5003000500000
"Сергиев Посад-7";"Россия/Московская область";141315;1;5003000600000
Серпухов;"Россия/Московская область";142200;1;5000002800000
Солнечногорск;"Россия/Московская область";141501;1;5003300100000
Солнечногорск-2;"Россия/Московская область";141502;1;5003300400000
Солнечногорск-25;"Россия/Московская область";141501;1;5003300400000
Солнечногорск-30;"Россия/Московская область";141504;1;5003300500000
Солнечногорск-7;"Россия/Московская область";141507;1;5003300300000
"Старая Купавна";"Россия/Московская область";142450;1;5002100400000
Ступино;"Россия/Московская область";142800;1;5000005400000
Талдом;"Россия/Московская область";141900;1;5000005900000
Фрязино;"Россия/Московская область";141190;1;5000001900000
Химки;"Россия/Московская область";141400;1;5000003000000
Хотьково;"Россия/Московская область";141372;1;5003000300000
Черноголовка;"Россия/Московская область";142432;1;5000003500000
Чехов;"Россия/Московская область";142300;1;5003700100051
Чехов-2;"Россия/Московская область";142302;1;5003700200000
Чехов-3;"Россия/Московская область";142303;1;5003700300000
Чехов-8;"Россия/Московская область";142302;1;5003700500000
Шатура;"Россия/Московская область";140700;1;5000005100000
Щелково;"Россия/Московская область";141100;1;5004000100000
Электрогорск;"Россия/Московская область";142530;1;5000003300000
Электросталь;"Россия/Московская область";144000;1;5000002100000
Электроугли;"Россия/Московская область";142455;1;5002100200000
Яхрома;"Россия/Московская область";141840;1;5000500200000
Волжск;Россия/Марий-Эл;425000;1;1200000200000
Звенигово;Россия/Марий-Эл;425060;1;1200400100000
Йошкар-Ола;Россия/Марий-Эл;424000;1;1200000100000
Козьмодемьянск;Россия/Марий-Эл;425350;1;1200000300000
Бабушкин;Россия/Бурятия;671950;1;0300900200000
Гусиноозерск;Россия/Бурятия;671160;1;0301800100000
Закаменск;Россия/Бурятия;671950;1;0300700100000
Кяхта;Россия/Бурятия;446722;1;0301200100000
Северобайкальск;Россия/Бурятия;671700;1;0300000200000
Улан-Удэ;Россия/Бурятия;670000;1;0300000100000
Александров;"Россия/Владимирская область";347233;1;3300200100000
Владимир;"Россия/Владимирская область";600000;1;3300000100000
Вязники;"Россия/Владимирская область";601440;1;3300300100000
Гороховец;"Россия/Владимирская область";601480;1;3300400100000
Гусь-Хрустальный;"Россия/Владимирская область";601500;1;3300000300000
Камешково;"Россия/Владимирская область";601301;1;3300600100000
Карабаново;"Россия/Владимирская область";601640;1;3300200200000
Киржач;"Россия/Владимирская область";601010;1;3300700100000
Ковров;"Россия/Владимирская область";601900;1;3300000400000
Кольчугино;"Россия/Владимирская область";297551;1;3300900100000
Костерево;"Россия/Владимирская область";601110;1;3301200200000
Курлово;"Россия/Владимирская область";601570;1;3300500200000
Лакинск;"Россия/Владимирская область";601240;1;3301400200000
Меленки;"Россия/Владимирская область";602100;1;3301000100000
Муром;"Россия/Владимирская область";309257;1;3300000500000
Петушки;"Россия/Владимирская область";601144;1;3301200100000
Покров;"Россия/Владимирская область";601120;1;3301200300000
Радужный;"Россия/Владимирская область";600910;1;3300000200000
Собинка;"Россия/Владимирская область";601204;1;3301400100000
Струнино;"Россия/Владимирская область";601670;1;3300200300000
Судогда;"Россия/Владимирская область";601351;1;3301500100000
Суздаль;"Россия/Владимирская область";601293;1;3301600100000
Юрьев-Польский;"Россия/Владимирская область";601800;1;3301700100000
Волгоград;"Россия/Волгоградская область";400000;1;3400000100000
Волжский;"Россия/Волгоградская область";404100;1;3400000200000
Дубовка;"Россия/Волгоградская область";356210;1;3400600100000
Жирновск;"Россия/Волгоградская область";403790;1;3400800100000
Калач-на-Дону;"Россия/Волгоградская область";404500;1;3401000100000
Камышин;"Россия/Волгоградская область";403870;1;3400000300000
Котельниково;"Россия/Волгоградская область";404350;1;3401400100000
Котово;"Россия/Волгоградская область";403805;1;3401500100000
Краснослободск;"Россия/Волгоградская область";404160;1;3402800200000
Ленинск;"Россия/Волгоградская область";404620;1;3401700100000
Михайловка;"Россия/Волгоградская область";161306;1;3400000400000
Николаевск;"Россия/Волгоградская область";404030;1;3402000100000
Новоаннинский;"Россия/Волгоградская область";403950;1;3402100100000
Палласовка;"Россия/Волгоградская область";404260;1;3402400100000
"Петров Вал";"Россия/Волгоградская область";403840;1;3401100200000
Серафимович;"Россия/Волгоградская область";403440;1;3402700100000
Суровикино;"Россия/Волгоградская область";404415;1;3403000100000
Урюпинск;"Россия/Волгоградская область";403110;1;3400000500000
Фролово;"Россия/Волгоградская область";403531;1;3400000600000
Бабаево;"Россия/Вологодская область";162483;1;3500200100000
Белозерск;"Россия/Вологодская область";161201;1;3500400100000
"Великий Устюг";"Россия/Вологодская область";162390;1;3500600100000
Вологда;"Россия/Вологодская область";160000;1;3500000100000
Вытегра;"Россия/Вологодская область";162900;1;3500900100000
Грязовец;"Россия/Вологодская область";162000;1;3501000100000
Кадников;"Россия/Вологодская область";162107;1;3501700200000
Кириллов;"Россия/Вологодская область";161101;1;3501200100000
Красавино;"Россия/Вологодская область";161390;1;3500600200000
Никольск;"Россия/Вологодская область";161440;1;3501500100000
Сокол;"Россия/Вологодская область";162130;1;3501700100000
Тотьма;"Россия/Вологодская область";161300;1;3502000100000
Устюжна;"Россия/Вологодская область";162840;1;3502200100000
Харовск;"Россия/Вологодская область";162250;1;3502300100000
Череповец;"Россия/Вологодская область";162600;1;3500000200000
Бобров;"Россия/Воронежская область";397700;1;3600300100000
Богучар;"Россия/Воронежская область";396790;1;3600400100000
Борисоглебск;"Россия/Воронежская область";397160;1;3600500100000
Бутурлиновка;"Россия/Воронежская область";397500;1;3600600100000
Воронеж;"Россия/Воронежская область";394000;1;3600000100000
Калач;"Россия/Воронежская область";397600;1;3601100100000
Лиски;"Россия/Воронежская область";397900;1;3601500100000
Нововоронеж;"Россия/Воронежская область";396070;1;3600000300000
Новохоперск;"Россия/Воронежская область";397400;1;3601800100000
Острогожск;"Россия/Воронежская область";397850;1;3602000100000
Павловск;"Россия/Воронежская область";196620;1;3602100100000
Поворино;"Россия/Воронежская область";397350;1;3602400100000
Россошь;"Россия/Воронежская область";346073;1;3602800100000
Семилуки;"Россия/Воронежская область";396900;1;3602900100000
Эртиль;"Россия/Воронежская область";397030;1;3603300100000
Алейск;"Россия/Алтайский край";658130;1;2200000200000
Барнаул;"Россия/Алтайский край";656000;1;2200000100000
Белокуриха;"Россия/Алтайский край";659900;1;2200000300000
Бийск;"Россия/Алтайский край";659300;1;2200000400000
Горняк;"Россия/Алтайский край";658423;1;2202700100000
Заринск;"Россия/Алтайский край";659100;1;2200001100000
Змеиногорск;"Россия/Алтайский край";658480;1;2201500100000
Камень-на-Оби;"Россия/Алтайский край";658700;1;2201800100000
Новоалтайск;"Россия/Алтайский край";658091;1;2200000800000
Рубцовск;"Россия/Алтайский край";658200;1;2200000900000
Славгород;"Россия/Алтайский край";658820;1;2200001000000
Яровое;"Россия/Алтайский край";627227;1;2200001200000
Буйнакск;Россия/Дагестан;368220;1;0500001000000
"Дагестанские Огни";Россия/Дагестан;368670;1;0500000200000
Дербент;Россия/Дагестан;368607;1;0500000600000
Избербаш;Россия/Дагестан;368500;1;0500000300000
Каспийск;Россия/Дагестан;368300;1;0500000400000
Кизилюрт;Россия/Дагестан;368120;1;0500000700000
Кизляр;Россия/Дагестан;363709;1;0500000800000
Махачкала;Россия/Дагестан;367000;1;0500000100000
Хасавюрт;Россия/Дагестан;368000;1;0500000900000
Южно-Сухокумск;Россия/Дагестан;368890;1;0500000500000
Биробиджан;"Россия/Еврейская АО";679000;1;7900000100000
Облучье;"Россия/Еврейская АО";679100;1;7900300100000
Абинск;"Россия/Краснодарский край";353320;1;2300200100000
Анапа;"Россия/Краснодарский край";353457;1;2300300100000
Апшеронск;"Россия/Краснодарский край";352690;1;2300400100000
Армавир;"Россия/Краснодарский край";352900;1;2300000200000
Белореченск;"Россия/Краснодарский край";352635;1;2300600100000
Геленджик;"Россия/Краснодарский край";353460;1;2300000300000
"Горячий Ключ";"Россия/Краснодарский край";353290;1;2300000400000
Гулькевичи;"Россия/Краснодарский край";352190;1;2300900100000
Ейск;"Россия/Краснодарский край";353680;1;2301100100000
Кореновск;"Россия/Краснодарский край";353182;1;2301500100000
Краснодар;"Россия/Краснодарский край";350000;1;2300000100000
Кропоткин;"Россия/Краснодарский край";352380;1;2301200100000
Крымск;"Россия/Краснодарский край";353389;1;2301800100000
Курганинск;"Россия/Краснодарский край";352430;1;2301900100000
Лабинск;"Россия/Краснодарский край";352500;1;2302100100000
Новокубанск;"Россия/Краснодарский край";352240;1;2302400100000
Новороссийск;"Россия/Краснодарский край";353900;1;2300000600000
Приморско-Ахтарск;"Россия/Краснодарский край";353861;1;2302800100000
Славянск-на-Кубани;"Россия/Краснодарский край";353560;1;2303000100000
Сочи;"Россия/Краснодарский край";354000;1;2300000700000
Темрюк;"Россия/Краснодарский край";353500;1;2303300100000
Тимашевск;"Россия/Краснодарский край";352700;1;2303400100000
Тихорецк;"Россия/Краснодарский край";352120;1;2303500100000
Туапсе;"Россия/Краснодарский край";352800;1;2303600100000
Усть-Лабинск;"Россия/Краснодарский край";352330;1;2303800100000
Хадыженск;"Россия/Краснодарский край";352681;1;2300400200000
Артемовск;"Россия/Красноярский край";662951;1;2402400200000
Ачинск;"Россия/Красноярский край";662150;1;2400001200000
Боготол;"Россия/Красноярский край";662060;1;2400001300000
Бородино;"Россия/Красноярский край";663980;1;2400000200000
Дивногорск;"Россия/Красноярский край";663090;1;2400000300000
Дудинка;"Россия/Красноярский край";647000;1;2404800100000
Енисейск;"Россия/Красноярский край";663180;1;2400001400000
Железногорск;"Россия/Красноярский край";307170;1;2400000400000
Заозерный;"Россия/Красноярский край";663960;1;2403301500000
Зеленогорск;"Россия/Красноярский край";663694;1;2400000500000
Игарка;"Россия/Красноярский край";663200;1;2403801700000
Иланский;"Россия/Красноярский край";663800;1;2401600100000
Канск;"Россия/Красноярский край";663600;1;2400001600000
Кодинск;"Россия/Красноярский край";663491;1;2402100100000
Красноярск;"Россия/Красноярский край";660000;1;2400000100000
Лесосибирск;"Россия/Красноярский край";662540;1;2400000800000
Минусинск;"Россия/Красноярский край";662600;1;2400001700000
Назарово;"Россия/Красноярский край";662206;1;2400001800000
Норильск;"Россия/Красноярский край";663300;1;2400000900000
Сосновоборск;"Россия/Красноярский край";442570;1;2400001000000
Ужур;"Россия/Красноярский край";662250;1;2404000100000
Уяр;"Россия/Красноярский край";663920;1;2404100100000
Шарыпово;"Россия/Красноярский край";662310;1;2400001900000
Архангельск;"Россия/Архангельская область";163000;1;2900000100000
Вельск;"Россия/Архангельская область";165151;1;2900200100000
Каргополь;"Россия/Архангельская область";164110;1;2900600100000
Коряжма;"Россия/Архангельская область";165650;1;2900000500000
Котлас;"Россия/Архангельская область";165300;1;2900800100000
Мезень;"Россия/Архангельская область";164750;1;2901200100000
Мирный;"Россия/Архангельская область";162236;1;2900000200000
Новодвинск;"Россия/Архангельская область";164900;1;2900000300000
Няндома;"Россия/Архангельская область";164200;1;2901300100000
Онега;"Россия/Архангельская область";164844;1;2901400100000
Северодвинск;"Россия/Архангельская область";164500;1;2900000400000
Сольвычегодск;"Россия/Архангельская область";165330;1;2900800300000
Шенкурск;"Россия/Архангельская область";165160;1;2901900100000
Белогорск;"Россия/Амурская область";676853;1;2800000300000
Благовещенск;"Россия/Амурская область";675000;1;2800000100000
Завитинск;"Россия/Амурская область";676471;1;2800500100000
Зея;"Россия/Амурская область";675824;1;2800000400000
Райчихинск;"Россия/Амурская область";676770;1;2800000200000
Свободный;"Россия/Амурская область";346958;1;2800000500000
Сковородино;"Россия/Амурская область";676010;1;2801700100000
Тында;"Россия/Амурская область";675828;1;2800000600000
Циолковский;"Россия/Амурская область";676470;1;2800001000000
Шимановск;"Россия/Амурская область";676301;1;2800000700000
Горно-Алтайск;Россия/Алтай;649000;1;0400000100000
Адыгейск;Россия/Адыгея;385200;1;0100000200000
Майкоп;Россия/Адыгея;385000;1;0100000100000
Брянск;"Россия/Брянская область";241000;1;3200000100000
Дятьково;"Россия/Брянская область";242600;1;3200600100000
Жуковка;"Россия/Брянская область";242700;1;3200800100000
Злынка;"Россия/Брянская область";243600;1;3200900100000
Карачев;"Россия/Брянская область";242500;1;3201000100000
Клинцы;"Россия/Брянская область";243140;1;3200000300000
Мглин;"Россия/Брянская область";243220;1;3201600100000
Новозыбков;"Россия/Брянская область";243020;1;3200000400000
Почеп;"Россия/Брянская область";243400;1;3202000100000
Севск;"Россия/Брянская область";242440;1;3202200100000
Сельцо;"Россия/Брянская область";187052;1;3200000200000
Стародуб;"Россия/Брянская область";243240;1;3200000600000
Сураж;"Россия/Брянская область";243500;1;3202500100000
Трубчевск;"Россия/Брянская область";242220;1;3202600100000
Унеча;"Россия/Брянская область";243300;1;3202700100000
Фокино;"Россия/Брянская область";242610;1;3200000500000
Вичуга;"Россия/Ивановская область";155331;1;3700300100000
"Гаврилов Посад";"Россия/Ивановская область";155000;1;3700400100000
Заволжск;"Россия/Ивановская область";155410;1;3700500100000
Иваново;"Россия/Ивановская область";153023;1;3700000100000
Кинешма;"Россия/Ивановская область";155800;1;3700000200000
Комсомольск;"Россия/Ивановская область";155150;1;3700800100000
Кохма;"Россия/Ивановская область";153510;1;3700100200000
Наволоки;"Россия/Ивановская область";155830;1;3700700200000
Плес;"Россия/Ивановская область";155555;1;3701300200000
Приволжск;"Россия/Ивановская область";155550;1;3701300100000
Пучеж;"Россия/Ивановская область";155360;1;3701400100000
Родники;"Россия/Ивановская область";140143;1;3701500100000
Тейково;"Россия/Ивановская область";155040;1;3701700100000
Фурманов;"Россия/Ивановская область";155520;1;3701800100000
Шуя;"Россия/Ивановская область";155900;1;3701900100000
Южа;"Россия/Ивановская область";155630;1;3702000100000
Юрьевец;"Россия/Ивановская область";155450;1;3702100100000
Анадырь;"Россия/Чукотский АО";689000;1;8700000100000
Билибино;"Россия/Чукотский АО";689450;1;8700300100000
Певек;"Россия/Чукотский АО";689400;1;8700600100000
Аркадак;"Россия/Саратовская область";412210;1;6400300100000
Аткарск;"Россия/Саратовская область";412420;1;6400000300000
Балаково;"Россия/Саратовская область";413853;1;6400000400000
Балашов;"Россия/Саратовская область";412315;1;6400000500000
Вольск;"Россия/Саратовская область";412900;1;6400000600000
Вольск-18;"Россия/Саратовская область";412918;1;6400000602500
Ершов;"Россия/Саратовская область";413500;1;6401400100000
Калининск;"Россия/Саратовская область";412481;1;6401600100000
"Красный Кут";"Россия/Саратовская область";413235;1;6401800100000
Маркс;"Россия/Саратовская область";413089;1;6400000800000
Новоузенск;"Россия/Саратовская область";413360;1;6402300100000
Петровск;"Россия/Саратовская область";412540;1;6400000900000
Пугачев;"Россия/Саратовская область";413720;1;6400001000000
Ртищево;"Россия/Саратовская область";303719;1;6400001100000
Саратов;"Россия/Саратовская область";410000;1;6400000100000
Хвалынск;"Россия/Саратовская область";412780;1;6400001200000
Шиханы;"Россия/Саратовская область";412950;1;6400000200000
Энгельс;"Россия/Саратовская область";413100;1;6400001300000
Багратионовск;"Россия/Калининградская область";238420;1;3900200100000
Балтийск;"Россия/Калининградская область";238520;1;3901500100000
Гвардейск;"Россия/Калининградская область";238210;1;3900300100000
Гурьевск;"Россия/Калининградская область";238300;1;3900400100000
Гусев;"Россия/Калининградская область";238050;1;3900500100000
Зеленоградск;"Россия/Калининградская область";238326;1;3900600100000
Калининград;"Россия/Калининградская область";236001;1;3900000100000
Краснознаменск;"Россия/Калининградская область";143090;1;3900700100000
Ладушкин;"Россия/Калининградская область";238460;1;3900000800000
Мамоново;"Россия/Калининградская область";238450;1;3900000900000
Неман;"Россия/Калининградская область";238710;1;3900800100000
Нестеров;"Россия/Калининградская область";238010;1;3900900100000
Озерск;"Россия/Калининградская область";238120;1;3901000100000
Пионерский;"Россия/Калининградская область";161061;1;3900000300000
Полесск;"Россия/Калининградская область";238630;1;3901100100000
Правдинск;"Россия/Калининградская область";238400;1;3901200100000
Приморск;"Россия/Калининградская область";188910;1;3901500200000
Светлогорск;"Россия/Калининградская область";238560;1;3901600100000
Светлый;"Россия/Калининградская область";164557;1;3900000600000
Славск;"Россия/Калининградская область";238600;1;3901300100000
Советск;"Россия/Калининградская область";236876;1;3900000700000
Черняховск;"Россия/Калининградская область";236816;1;3901400100000
Городовиковск;Россия/Калмыкия;359050;1;0800200100000
Лагань;Россия/Калмыкия;359220;1;0800600100000
Элиста;Россия/Калмыкия;358000;1;0800000100000
Балабаново;"Россия/Калужская область";249000;1;4000400200000
Белоусово;"Россия/Калужская область";162930;1;4000900200000
Боровск;"Россия/Калужская область";249010;1;4000400100000
Ермолино;"Россия/Калужская область";141923;1;4000400400000
Жиздра;"Россия/Калужская область";249340;1;4000800100000
Жуков;"Россия/Калужская область";249190;1;4000900100000
Калуга;"Россия/Калужская область";248000;1;4000000100000
Киров;"Россия/Калужская область";249440;1;4001100100000
Козельск;"Россия/Калужская область";249141;1;4001200100000
Кондрово;"Россия/Калужская область";249830;1;4000600100000
Кременки;"Россия/Калужская область";249185;1;4000900400000
Людиново;"Россия/Калужская область";249342;1;4001400100000
Малоярославец;"Россия/Калужская область";249091;1;4001500100000
Медынь;"Россия/Калужская область";249950;1;4001600100000
Мещовск;"Россия/Калужская область";249240;1;4001700100000
Мосальск;"Россия/Калужская область";249930;1;4001800100000
Обнинск;"Россия/Калужская область";249030;1;4000000200000
Сосенский;"Россия/Калужская область";249710;1;4001200200000
Спас-Деменск;"Россия/Калужская область";249610;1;4000500100000
Сухиничи;"Россия/Калужская область";249270;1;4002000100000
Таруса;"Россия/Калужская область";249100;1;4002100100000
Юхнов;"Россия/Калужская область";249910;1;4002500200000
Вилючинск;"Россия/Камчатский край";684090;1;4100000200000
Елизово;"Россия/Камчатский край";684000;1;4100500100000
Петропавловск-Камчатский;"Россия/Камчатский край";683000;1;4100000100000
Карачаевск;Россия/Карачаево-Черкессия;369200;1;0900000200000
Теберда;Россия/Карачаево-Черкессия;369210;1;0900000300000
Усть-Джегута;Россия/Карачаево-Черкессия;369300;1;0900800100000
Черкесск;Россия/Карачаево-Черкессия;369000;1;0900000100000
Беломорск;Россия/Карелия;186500;1;1000200100000
Кемь;Россия/Карелия;186610;1;1000400100000
Кондопога;Россия/Карелия;186215;1;1000500100000
Костомукша;Россия/Карелия;186930;1;1000000400000
Лахденпохья;Россия/Карелия;186730;1;1000600100000
Медвежьегорск;Россия/Карелия;186302;1;1000800100000
Олонец;Россия/Карелия;186000;1;1001000100000
Петрозаводск;Россия/Карелия;185000;1;1000000100000
Питкяранта;Россия/Карелия;186810;1;1001100100000
Пудож;Россия/Карелия;186150;1;1001300100000
Сегежа;Россия/Карелия;186420;1;1001400100000
Сортавала;Россия/Карелия;186790;1;1000000700000
Суоярви;Россия/Карелия;186870;1;1001500100000
Анжеро-Судженск;"Россия/Кемеровская область";652470;1;4200000200000
Белово;"Россия/Кемеровская область";157138;1;4200001500000
Березовский;"Россия/Кемеровская область";249355;1;4200000300000
Калтан;"Россия/Кемеровская область";652740;1;4200000400000
Кемерово;"Россия/Кемеровская область";650000;1;4200000900000
Киселевск;"Россия/Кемеровская область";652700;1;4200000500000
Ленинск-Кузнецкий;"Россия/Кемеровская область";652500;1;4200001000000
Мариинск;"Россия/Кемеровская область";652150;1;4200700100000
Междуреченск;"Россия/Кемеровская область";169260;1;4200001600000
Мыски;"Россия/Кемеровская область";652840;1;4200000600000
Новокузнецк;"Россия/Кемеровская область";654000;1;4200001200000
Осинники;"Россия/Кемеровская область";652800;1;4200000700000
Полысаево;"Россия/Кемеровская область";652560;1;4200001100000
Прокопьевск;"Россия/Кемеровская область";653000;1;4200001300000
Салаир;"Россия/Кемеровская область";652770;1;4200300200000
Тайга;"Россия/Кемеровская область";164644;1;4200000800000
Таштагол;"Россия/Кемеровская область";652990;1;4201200100000
Топки;"Россия/Кемеровская область";303187;1;4201400100000
Юрга;"Россия/Кемеровская область";652050;1;4200001400000
Балей;"Россия/Забайкальский край";673450;1;7500400100000
Борзя;"Россия/Забайкальский край";674600;1;7500500100000
Краснокаменск;"Россия/Забайкальский край";662955;1;7501100100000
Могоча;"Россия/Забайкальский край";673730;1;7501400100000
Нерчинск;"Россия/Забайкальский край";672840;1;7501500100000
Петровск-Забайкальский;"Россия/Забайкальский край";672801;1;7501900100000
Сретенск;"Россия/Забайкальский край";673500;1;7502100100000
Хилок;"Россия/Забайкальский край";673200;1;7502500100000
Чита;"Россия/Забайкальский край";422792;1;7500000100000
Шилка;"Россия/Забайкальский край";673302;1;7502800100000
Баксан;Россия/Кабардино-Балкария;361530;1;0700000300000
Майский;Россия/Кабардино-Балкария;160508;1;3500100000900
Нальчик;Россия/Кабардино-Балкария;360000;1;0700000100000
Нарткала;Россия/Кабардино-Балкария;361330;1;0700700100000
Прохладный;Россия/Кабардино-Балкария;361040;1;0700000200000
Терек;Россия/Кабардино-Балкария;356837;1;2600700001200
Тырныауз;Россия/Кабардино-Балкария;361621;1;0701000100000
Чегем;Россия/Кабардино-Балкария;361400;1;0700800100000
"Белая Холуница";"Россия/Кировская область";613200;1;4300400100000
"Вятские Поляны";"Россия/Кировская область";612960;1;4300800100000
